frame,detections,ids,labels
0,0,,
1,0,,
2,0,,
3,0,,
4,0,,
5,1,1.0,0
6,1,1.0,0
7,1,1,
8,1,1,
9,1,1,
10,1,1,
11,0,,
12,0,,
13,0,,
14,0,,
15,0,,
16,0,,
17,0,,
18,0,,
19,0,,
20,2,2.0;3.0,18;21
21,2,2.0;3.0,18;21
22,1,,0
23,1,4.0,0
24,3,2;3;4,
25,3,2;3;4,
26,1,4,
27,1,4,
28,0,,
29,0,,
30,0,,
31,0,,
32,0,,
33,0,,
34,0,,
35,2,5.0;6.0,0
36,2,5.0;6.0,0
37,2,5;6,
38,1,,14
39,1,7.0,14
40,1,,2
41,1,8.0,2
42,2,7;8,
43,1,,32
44,1,9.0,32
45,2,8;9,
46,1,9,
47,1,9,
48,1,9,
49,0,,
50,0,,
51,0,,
52,0,,
53,1,10.0,16
54,1,10.0,16
55,1,10,
56,1,10,
57,1,10,
58,1,10,
59,0,,
60,0,,
61,0,,
62,0,,
63,0,,
64,1,11.0,21
65,1,11.0,21
66,1,11,
67,1,11,
68,2,,14;18
69,2,12.0;13.0,14;18
70,2,12;13,
71,2,12;13,
72,1,,0
73,1,14.0,0
74,1,14,
75,1,14,
76,1,14,
77,1,14,
78,0,,
79,0,,
80,0,,
81,0,,
82,1,15.0,16
83,1,15.0,16
84,1,15,
85,1,15,
86,1,15,
87,1,15,
88,0,,
89,0,,
90,0,,
91,0,,
92,0,,
93,0,,
94,1,16.0,16
95,1,16.0,16
96,1,16,
97,1,16,
98,1,16,
99,1,16,
100,0,,
101,0,,
102,1,17.0,16
103,1,17.0,16
104,1,17,
105,1,17,
106,1,17,
107,1,17,
108,0,,
109,0,,
110,0,,
111,0,,
112,0,,
113,0,,
114,0,,
115,0,,
116,0,,
117,0,,
118,1,18.0,16
119,1,18.0,16
120,1,19.0,16
121,2,18;19,
122,2,18;19,
123,2,18;19,
124,1,19,
125,0,,
